keypt1, keypt2, name1, name2
15,22,"LAnkle","LHeel"
22,20,"LHeel","LBigToe"
22,21,"LHeel","LSmallToe"
25,23,"RHeel","RBigToe"
25,24,"RHeel","RSmallToe"
12,25,"RAnkle","RHeel"
